Type :,DIL805
Test :,200304 08 Aus 1000°C 10 min quench


;Time;Temperature;Change in Length;HF Power
 1;0.00000000;27.19783783;0.00000000;0.00000000
 2;0.10073400;27.08135414;-0.23453784;0.00000000
 3;0.20019300;27.21592903;-0.18817568;0.00000000
 4;0.30072501;26.86819077;-0.19090295;0.00000000
 5;0.40021399;26.99991608;-0.20999312;0.00000000
 6;0.50072902;27.44801331;-0.18817568;0.00000000
 7;0.60017401;27.09634209;-0.20453882;0.00000000
 8;0.70070702;27.37970161;-0.23181057;0.00000000
 9;0.80016297;27.12340927;-0.20181155;0.00000000
 10;0.90061998;26.73568344;-0.23453784;0.00000000
 11;1.00012100;27.01394081;-0.21544743;0.00000000
 12;1.10062695;27.28425980;-0.18817568;0.00000000
 13;1.20007706;27.15069580;-0.20181155;0.00000000
 14;1.30061698;27.09440041;-0.22635627;0.00000000
 15;1.40104795;27.15360260;-0.24817371;0.00000000
 16;1.50047302;27.35263252;-0.21817470;0.00000000
 17;1.60098803;27.16377068;-0.22090197;0.00000000
 18;1.70037198;27.18790245;-0.23453784;0.00000000
 19;1.80090797;27.12751007;-0.20181155;0.67214966
 20;1.90034699;27.18382263;-0.22908354;0.00000000
 21;2.00079799;27.13862038;-0.22362900;0.00000000
 22;2.10028291;27.21687317;-0.18272138;0.54328442
 23;2.20080304;27.05115128;-0.20726585;0.00000000
 24;2.30030799;27.14659500;-0.19635725;0.00000000
 25;2.40080810;26.99293137;-0.23453784;0.00000000
 26;2.50023890;26.99000549;-0.19362998;0.36797649
 27;2.60072398;27.24805450;-0.21272039;0.17820112
 28;2.70015812;27.19684601;-0.22635627;0.31591415
 29;2.80070591;27.11249924;-0.20453882;2.37729692
 30;2.90017390;27.25503922;-0.20453882;7.55515003
 31;3.00060010;29.14640045;-0.06817961;7.46017838
 32;3.10107493;31.06413078;0.06817937;7.84346628
 33;3.20043993;31.98444557;0.17181230;7.35473394
 34;3.30096006;33.13150024;0.31908035;7.10945988
 35;3.40044999;34.06679916;0.41998601;7.15267849
 36;3.50101089;34.95275879;0.56725383;7.32172394
 37;3.60045505;35.92591476;0.68997717;7.42531872
 38;3.70098209;36.67556000;0.80451870;7.45248222
 39;3.80044603;37.90639877;0.90269732;7.39265156
 40;3.90095711;38.69017792;1.06360126;7.67137003
 41;4.00040197;39.97153473;1.20268750;7.44030190
 42;4.10090685;40.91872787;1.31722903;7.41003418
 43;4.20032215;41.92538452;1.43995214;7.37754297
 44;4.30076218;43.10089493;1.61994624;7.35855532
 45;4.40014219;43.86353302;1.69630742;7.59605312
 46;4.50062799;44.74107742;1.86266541;7.55171299
 47;4.60004187;46.00328827;1.96629834;7.56878376
 48;4.70056677;46.97238922;2.12720227;7.55497980
 49;4.80002213;48.14800262;2.29083323;7.31124210
 50;4.90055323;49.07150650;2.37810302;7.41006374
 51;5.00001287;50.12236404;2.54173398;7.19292688
 52;5.10059023;51.04024124;2.68900180;7.52422523
 53;5.20005894;52.02011108;2.75990891;7.49686909
 54;5.30051517;53.27749634;2.90717673;7.30701494
 55;5.40102577;54.18371582;3.05444455;7.29974747
 56;5.50048018;55.11849976;3.16353154;7.27607775
 57;5.60097122;55.90190506;3.30534530;7.67554808
 58;5.70041180;56.81932831;3.44443154;7.56392050
 59;5.80098581;58.06638336;3.56988215;7.59448051
 60;5.90041018;58.99264526;3.72533154;7.42632484
 61;6.00088596;60.00645447;3.82078290;7.38602591
 62;6.10029984;61.02177811;3.95168757;7.42965126
 63;6.20081091;61.87620163;4.10441017;7.62189293
 64;6.30030203;63.03697586;4.25440502;7.46870136
 65;6.40075684;63.99482346;4.33076572;7.56952524
 66;6.50018692;65.01981354;4.48348808;7.61071491
 67;6.60073709;66.14514923;4.64439201;7.37689686
 68;6.70022821;66.86222839;4.74529743;7.48891830
 69;6.80077314;67.92723846;4.91438293;7.52330685
 70;6.90025902;69.17420959;5.02074242;7.24931526
 71;7.00074911;69.81355286;5.14619350;7.64870358
 72;7.10018396;70.86856842;5.29891586;7.59947205
 73;7.20070410;72.09632111;5.44072914;7.54597902
 74;7.30015898;72.97388458;5.55527020;7.30180311
 75;7.40064001;73.98871613;5.73526478;7.52699280
 76;7.50009012;74.97679138;5.83889771;7.58353615
 77;7.60057592;75.92755890;5.95889378;7.72940159
 78;7.70000887;76.87304688;6.10343456;7.25827932
 79;7.80057096;77.95322418;6.23161221;7.50986862
 80;7.90004587;79.10877991;6.36524391;7.49585819
 81;8.00061226;79.94113159;6.47705841;7.74712181
 82;8.10006237;81.13351440;6.61614513;7.50158262
 83;8.20056725;81.98590088;6.76613998;7.71512556
 84;8.30101395;82.98466492;6.88613605;7.28651762
 85;8.40053368;84.11006927;7.03613091;7.20982790
 86;8.50097275;84.93350983;7.17249012;7.54281282
 87;8.60047913;86.09941101;7.27066898;7.38227606
 88;8.70103073;86.92397308;7.44520855;7.60525131
 89;8.80044842;88.08269501;7.57884026;7.71387529
 90;8.90096378;89.05106354;7.69338226;7.52210808
 91;9.00047398;89.88436890;7.82701397;7.34272671
 92;9.10105038;91.05687714;7.98519039;7.63175488
 93;9.20047379;91.91071320;8.08882332;7.64303493
 94;9.30103207;92.87738037;8.22518253;7.71688938
 95;9.40048504;94.24674225;8.33154297;7.38592196
 96;9.50102711;94.98160553;8.47335625;7.54238558
 97;9.60048199;96.07041168;8.62607861;7.45337582
 98;9.70095730;96.90660095;8.76789188;7.68292427
 99;9.80038738;98.03755188;8.89061546;7.78857327
 100;9.90084743;99.06796265;8.99970245;7.51570225
 101;10.00025177;100.27401733;9.17151451;7.35840988
 102;10.10072327;100.92818451;9.29696560;7.57992744
 103;10.20024681;101.93146515;9.38696194;7.48244476
 104;10.30072212;102.90613556;9.53150272;7.73622942
 105;10.40013695;103.95919037;9.65695286;7.83572435
 106;10.50060272;104.92012024;9.81785679;7.87958813
 107;10.60006809;105.94187927;9.93512630;7.71649122
 108;10.70056343;106.98808289;10.10421085;7.54320526
 109;10.80001831;107.97438812;10.21875286;7.68342447
 110;10.90053940;108.97860718;10.36329365;7.43875694
 111;11.00101376;109.97323608;10.44510937;7.34048843
 112;11.10054016;110.86243439;10.58419514;7.50691843
 113;11.20105553;112.00656128;10.74782658;7.75934649
 114;11.30058479;112.89842224;10.87054920;7.92802715
 115;11.40008545;113.85664368;11.07236099;8.01310635
 116;11.50046539;115.07734680;11.17872143;7.81811476
 117;11.60087967;116.18679810;11.32598877;7.51562023
 118;11.70035553;117.05697632;11.44053078;7.47456551
 119;11.80088139;117.81330109;11.55779934;7.74278641
 120;11.90030956;118.73544312;11.71052170;7.80896235
 121;12.00086784;120.07810974;11.86324406;7.64321518
 122;12.10027122;121.08602142;11.95051384;7.66791725
 123;12.20088291;121.84207916;12.08960056;7.76726246
 124;12.30030441;122.88035583;12.23414135;7.85472822
 125;12.40074730;123.88337708;12.33777428;7.86030245
 126;12.50023270;124.99103546;12.51504040;7.75328827
 127;12.60066891;125.90024567;12.59958363;7.76426077
