Type :,DIL805
Test :,200305 13 Aus 1000°C 30 min iso 760°C 15 min iso 600°C 2h q


;Time;Temperature;Change in Length;HF Power
 1;0.00000000;26.33706284;0.00000000;0.00000000
 2;0.10077200;26.08745956;-0.28362679;0.00000000
 3;0.20027700;26.24457359;-0.25635505;0.00000000
 4;0.30075699;26.35420609;-0.26180935;0.43838501
 5;0.40011701;26.12471962;-0.29180837;0.00000000
 6;0.50059199;26.17605019;-0.26180935;1.60825253
 7;0.60003197;26.20630264;-0.28362679;0.00000000
 8;0.70046300;26.26560020;-0.28908134;0.00000000
 9;0.80101800;26.34308624;-0.24544644;0.00000000
 10;0.90051901;26.42462730;-0.24817348;0.00000000
 11;1.00093901;26.45681381;-0.26180935;0.00000000
 12;1.10043395;26.39341736;-0.25908232;0.00000000
 13;1.20099401;26.08548546;-0.25908232;0.00000000
 14;1.30043900;26.22640038;-0.23999190;0.00000000
 15;1.40096402;26.25060081;-0.26453662;0.00000000
 16;1.50042498;26.39241982;-0.23453760;0.00000000
 17;1.60084498;26.28670120;-0.25362778;0.49429655
 18;1.70030499;26.29392242;-0.21272016;0.00000000
 19;1.80069399;26.21235466;-0.25362778;0.00000000
 20;1.90007401;26.36727524;-0.26726389;0.00000000
 21;2.00050998;26.30386734;-0.28089976;0.00000000
 22;2.10095000;26.29784393;-0.27544522;1.40104830
 23;2.20035410;26.50108528;-0.32180738;0.00000000
 24;2.30085492;26.34210968;-0.31089878;0.00000000
 25;2.40022111;26.47495270;-0.25362778;0.46064481
 26;2.50069499;26.52235413;-0.30817151;0.17405659
 27;2.60009909;26.44472122;-0.27817249;0.34767732
 28;2.70058990;26.45486259;-0.26180935;2.08673477
 29;2.80000496;26.47590256;-0.25635505;6.16381836
 30;2.90033388;28.37644386;-0.11181450;7.84612417
 31;3.00071001;30.02561760;0.04363513;7.25979280
 32;3.10014009;31.49401093;0.20453882;6.42187834
 33;3.20048904;31.93278885;0.24271941;7.04170609
 34;3.30074811;32.92896271;0.35180664;7.04454184
 35;3.40024209;33.97159195;0.48271132;7.06588984
 36;3.50066805;34.95962906;0.61361599;7.33641195
 37;3.60004807;36.04211044;0.73906660;7.06281376
 38;3.70056796;37.16443253;0.86178970;7.19538212
 39;3.80095506;37.82569504;0.92724228;7.36760235
 40;3.90034294;38.99279022;1.12905359;7.19128609
 41;4.00081301;39.75143814;1.25995827;7.47582912
 42;4.10012722;41.04142380;1.33631945;7.25660563
 43;4.20057297;41.93688583;1.46995163;7.31501484
 44;4.30103779;43.23474884;1.59812927;7.14423752
 45;4.40047312;43.98364258;1.75357866;7.13934612
 46;4.50088882;45.02542496;1.85175705;7.03667116
 47;4.60029316;46.04274368;2.00175238;7.24828768
 48;4.70074797;46.86234283;2.12447548;7.18778801
 49;4.80016899;48.16811752;2.26628876;7.15938520
 50;4.90065718;49.21705246;2.36174011;7.07275677
 51;5.00007820;49.95571899;2.47628212;7.40599585
 52;5.10058880;51.07910156;2.62900400;7.54928207
 53;5.20103407;51.92934799;2.75990915;7.35494709
 54;5.30046415;53.17482376;2.89081383;7.12631464
 55;5.40093279;53.94997787;3.02990007;7.20413303
 56;5.50032377;55.09938049;3.14716864;7.09428596
 57;5.60078907;56.07584381;3.24807453;7.03497458
 58;5.70022917;56.87383270;3.36261606;7.22289181
 59;5.80067396;58.02093506;3.51806545;7.29792881
 60;5.90006781;59.07990646;3.62169886;7.41892052
 61;6.00056887;60.21142960;3.80714726;7.12849569
 62;6.10098982;61.02067184;3.89168954;7.16840506
 63;6.20043612;62.11606979;4.01713943;7.45993185
 64;6.30083084;63.09817123;4.13713551;7.07650661
 65;6.40025997;64.16860962;4.24349594;7.33597994
 66;6.50074911;65.22828674;4.40439987;7.26206779
 67;6.60014486;66.12358856;4.52439594;7.04266500
 68;6.70059395;66.85290527;4.65530109;7.36533213
 69;6.80011988;67.89022827;4.79166031;7.63282347
 70;6.90057993;69.05445099;4.93074608;7.36980820
 71;7.00100517;69.83811951;5.05346966;7.73625374
 72;7.10049105;70.86285400;5.15983009;7.49412060
 73;7.20100689;72.07958984;5.27982521;7.24537468
 74;7.30043077;72.73525238;5.44072914;7.29777765
 75;7.40081596;73.77974701;5.56345272;7.68790483
 76;7.50021601;74.83655548;5.70253944;7.49354601
 77;7.60069084;75.79848480;5.85253429;7.57014799
 78;7.70006514;77.03874207;5.95616722;7.17797375
 79;7.80049896;78.06349182;6.09798050;7.42294502
 80;7.90097618;78.85500336;6.17706871;7.42875051
 81;8.00048065;79.99858093;6.33524513;7.16916990
 82;8.10099602;80.97158051;6.44705963;7.31745815
 83;8.20041847;81.75688171;6.58887291;7.58353615
 84;8.30089188;83.09194946;6.73068714;7.26255035
 85;8.40037155;83.98301697;6.82341099;7.42115402
 86;8.50083256;85.02532196;7.01158619;7.41570044
 87;8.60019779;85.97629547;7.13158226;7.62459755
 88;8.70066166;87.05975342;7.22703362;7.31224346
 89;8.80104733;88.07010651;7.34157562;7.16725540
 90;8.90037727;88.85260773;7.49975204;7.26658869
 91;9.00081730;90.02125549;7.64429283;7.32620239
 92;9.10019588;90.92092896;7.70156384;7.46054459
 93;9.20072556;91.96517944;7.87610340;7.43331385
 94;9.30007076;92.91690826;7.97428226;7.68974543
 95;9.40058708;94.03527069;8.11064148;7.36746836
 96;9.50102234;95.02792358;8.26881790;7.21877813
 97;9.60040760;96.15761566;8.40244961;7.16303062
 98;9.70085239;96.91605377;8.50608253;7.63109207
 99;9.80024624;98.16188812;8.66425896;7.31175661
 100;9.90062141;98.97916412;8.78698254;7.33870459
 101;10.00101280;100.08240509;8.90970612;7.47516537
 102;10.10041714;101.04312897;9.04879189;7.29851675
 103;10.20089722;102.16983032;9.21514988;7.40609074
 104;10.30033684;103.06816101;9.29151154;7.18935728
 105;10.40083599;103.86955261;9.45786953;7.55484629
 106;10.50022125;104.96974945;9.55332088;7.48512983
 107;10.60069656;106.06938934;9.73604202;7.34263706
 108;10.70005226;106.80483246;9.85603809;7.58022785
 109;10.80051136;107.70588684;9.98148823;7.86170101
 110;10.90096283;109.21820831;10.12330246;7.55513430
 111;11.00037098;110.00131226;10.24057102;7.46202660
 112;11.10085583;111.20237732;10.35783958;7.39405155
 113;11.20029640;112.01658630;10.49147129;7.29531479
 114;11.30075741;112.96609497;10.61964893;7.63669205
 115;11.40011787;114.20395660;10.73146343;7.43607998
 116;11.50061131;114.95228577;10.88691330;7.38990831
 117;11.60105228;115.91454315;11.00145435;7.69949245
 118;11.70041180;117.00722504;11.15145016;7.83743429
 119;11.80087662;118.00720978;11.28508186;7.75428295
 120;11.90027618;119.17711639;11.42144108;7.12848377
 121;12.00075626;119.97673035;11.56325436;7.51418543
 122;12.10022259;121.04666138;11.68870449;7.24128246
 123;12.20064735;121.99872589;11.79233742;7.57992268
 124;12.30006790;122.99008942;11.95596886;7.54780817
 125;12.40057182;123.99213409;12.08960056;7.47010183
 126;12.50003719;124.96768951;12.24232292;7.47841406
 127;12.60055923;126.03173828;12.35959148;7.40729856
 128;12.70101929;126.99322510;12.49867821;7.48151541
 129;12.80042362;127.92671204;12.63776398;7.55486727
 130;12.90089417;128.96401978;12.77957726;7.66160250
 131;13.00031376;130.20445251;12.88593864;7.34149504
 132;13.10073376;131.09997559;13.03866005;7.44164896
 133;13.20012856;131.92123413;13.12593079;7.50680733
 134;13.30055046;133.08114624;13.29228783;7.52867937
 135;13.40098858;134.02392578;13.40682983;7.68566513
 136;13.50041485;135.05331421;13.54591560;7.42416668
 137;13.60091400;136.08509827;13.71227455;7.47162914
 138;13.70033455;136.79635620;13.80772591;7.87077475
 139;13.80076408;137.93476868;13.99317360;7.83386517
 140;13.90021324;139.15626526;14.07771683;7.48726940
 141;14.00062370;140.14404297;14.20862198;7.41792393
 142;14.10010910;140.91850281;14.33134460;7.49237013
 143;14.20057869;141.92834473;14.45952225;7.65277481
 144;14.30002785;142.99391174;14.60406303;7.77030087
 145;14.40043926;143.78265381;14.73224068;7.99308681
 146;14.50087929;145.09628296;14.87678146;7.72462654
 147;14.60025501;146.08041382;15.04859352;7.48408747
 148;14.70074940;147.21577454;15.15495300;7.43487358
 149;14.80018902;148.16938782;15.30222130;7.30223560
 150;14.90069485;148.87907410;15.43585396;7.61029243
 151;15.00005531;150.06375122;15.55312347;7.27222395
 152;15.10052967;151.00764465;15.70038986;7.63749313
 153;15.20102024;151.83267212;15.82311344;7.58965540
 154;15.30045128;152.99293518;15.97583485;7.83786345
 155;15.40090466;153.77343750;16.13128471;7.80989933
 156;15.50031090;154.94137573;16.26491737;7.64303684
 157;15.60082626;156.09313965;16.42036629;7.64064598
 158;15.70025635;157.00723267;16.56490707;7.77552176
 159;15.80066109;158.00582886;16.67399406;7.74647617
 160;15.90002918;159.01087952;16.79126358;7.65338659
 161;16.00045586;159.84251404;16.96034813;7.98571968
 162;16.10087967;161.02108765;17.07761765;7.65160036
 163;16.20030975;162.09207153;17.18397713;7.56866693
 164;16.30079079;163.12010193;17.32851791;7.66146469
 165;16.40017509;163.99516296;17.49487686;7.74278736
 166;16.50065041;165.03739929;17.60669136;7.75976086
 167;16.60000420;166.01277161;17.74850464;7.78334808
 168;16.70050430;167.11259460;17.90940857;7.76391602
 169;16.80100632;168.04478455;18.03485870;7.63137341
 170;16.90040588;168.99128723;18.16303635;7.66301203
 171;17.00089073;170.18467712;18.33757591;7.32953787
 172;17.10022926;170.98233032;18.42484665;7.52262545
 173;17.20070076;172.09078979;18.59393120;7.69459915
 174;17.30011177;172.69898987;18.73301697;7.94683552
 175;17.40056992;174.05796814;18.87210464;7.79762173
 176;17.50098610;174.84211731;19.00846291;7.99247265
 177;17.60039520;175.96612549;19.14754868;7.64691448
 178;17.70080566;177.02876282;19.29208946;8.02934742
 179;17.80013084;178.12576294;19.45026588;7.75717020
 180;17.90048027;178.99275208;19.58935356;7.50643969
 181;18.00091553;179.96795654;19.70662117;7.54550505
 182;18.10029030;180.84197998;19.85934448;7.83543158
 183;18.20069885;182.06211853;19.97388649;7.71627474
 184;18.30014992;182.78785706;20.17569733;8.07292461
 185;18.40050888;183.85682678;20.26842117;8.10034180
 186;18.50094986;185.08731079;20.41841698;7.81397915
 187;18.60023308;186.14566040;20.55204773;7.46205902
 188;18.70062256;187.03527832;20.67749786;7.63938618
 189;18.80002213;188.05920410;20.82203865;7.51052189
 190;18.90046883;188.93397522;20.98294258;7.84420538
 191;19.00090981;189.66079712;21.09748459;8.07339859
 192;19.10015297;191.11857605;21.21748161;7.99347782
 193;19.20051765;192.13871765;21.38656616;7.59469986
 194;19.30091858;192.93106079;21.50928879;7.88751841
 195;19.40041351;193.93322754;21.65110207;7.90948153
 196;19.50087166;194.95436096;21.81473351;7.77401447
 197;19.60031891;196.22328186;21.94291115;7.77297544
 198;19.70075607;196.97575378;22.07654381;7.93473244
 199;19.80025673;197.92749023;22.22108459;7.95534039
 200;19.90073395;199.08973694;22.36835289;7.92738914
 201;20.00007820;200.01312256;22.51561928;7.84784889
 202;20.10052872;200.96963501;22.64925194;7.87434006
 203;20.20088768;202.07060242;22.80742836;7.84470654
 204;20.30020142;203.01965332;22.93833351;8.01633930
 205;20.40053177;204.18177795;23.09923744;7.95809317
 206;20.50082588;204.84432983;23.20832443;8.10087395
 207;20.60015106;206.29138184;23.38013649;7.80112267
 208;20.70051575;206.90438843;23.47558784;8.05286598
 209;20.80084991;208.04576111;23.62831116;7.89510536
 210;20.90013885;208.99952698;23.75648880;7.85333824
 211;21.00056267;210.07135010;23.88739204;7.71874237
 212;21.10099411;211.00071716;24.03466034;7.99152565
 213;21.20042419;212.07528687;24.21738243;7.84030342
 214;21.30080986;213.10243225;24.35374069;7.79760599
 215;21.40019417;214.00610352;24.48191833;7.87993240
 216;21.50063324;215.15109253;24.63736725;8.11048126
 217;21.60097885;215.98109436;24.78463554;7.91420507
 218;21.70026779;217.04989624;24.91826820;7.80681229
 219;21.80071259;217.98472595;25.06008148;7.81856441
 220;21.90010643;218.93402100;25.17735100;8.25608158
 221;22.00044632;219.87574768;25.33825302;8.32628632
 222;22.10087204;221.12782288;25.48006821;7.86300373
 223;22.20019531;222.12834167;25.64369774;7.87295389
 224;22.30066681;223.31370544;25.73914909;7.54262066
 225;22.40105247;223.87132263;25.87550926;7.95116711
 226;22.50038719;224.93072510;26.04186630;7.98859978
 227;22.60083580;225.85726929;26.20549774;8.16755962
 228;22.70022583;227.05255127;26.36640167;8.00283241
 229;22.80069542;228.01762390;26.49730682;7.99057388
 230;22.90107155;228.82456970;26.67730141;8.34859657
 231;23.00026321;230.09628296;26.81365967;8.01758385
 232;23.10067940;231.06347656;26.93910980;7.96253300
 233;23.20101547;232.02906799;27.10546875;7.69485760
 234;23.30037880;233.00604248;27.26364517;7.80230570
 235;23.40084457;234.08103943;27.43545723;8.01405048
 236;23.50023460;235.02523804;27.55272675;7.99673033
 237;23.60058212;236.02371216;27.68362999;8.22037601
 238;23.70089340;236.90026855;27.88271523;8.23788834
 239;23.80019760;238.00505066;28.01907349;8.16419601
 240;23.90059853;238.97003174;28.16906929;8.12405682
 241;24.00103760;240.03338623;28.31906509;8.02666473
 242;24.10045624;241.10789490;28.46633148;8.08706188
 243;24.20084000;242.06381226;28.61359978;7.92956829
 244;24.30016518;242.88639832;28.64905357;8.09733582
 245;24.40055656;244.13095093;28.83995628;7.92053175
 246;24.50088692;244.99473572;28.93813515;8.15422153
 247;24.60015488;245.91748047;29.08540154;8.24944973
 248;24.70060921;247.16726685;29.28448677;7.94671917
 249;24.80095482;248.21162415;29.39902687;8.02384472
 250;24.90023422;248.97885132;29.56811333;8.22269821
 251;25.00057411;249.84466553;29.71811104;8.23752308
 252;25.10002327;250.99195862;29.89264870;8.19180870
 253;25.20047951;251.86970520;30.00446510;8.27865505
 254;25.30096054;252.92541504;30.19264030;8.28758430
 255;25.40040207;253.99645996;30.35354424;8.15917778
 256;25.50083923;255.09114075;30.47081184;8.04692745
 257;25.60028076;256.04974365;30.61807823;7.99688578
 258;25.70064926;257.05395508;30.77625465;7.99963188
 259;25.80103874;258.00119019;30.91534233;8.08381176
 260;25.90034294;258.96734619;31.07351875;8.05415154
 261;26.00072861;260.04367065;31.22078514;8.15586090
 262;26.10005188;261.04196167;31.39805412;8.03120136
 263;26.20049477;261.92791748;31.50168800;8.08155060
 264;26.30100822;262.96890259;31.68986320;8.13163567
 265;26.40041924;264.02853394;31.85622215;8.06744480
 266;26.50088310;264.84820557;31.95985222;8.32709122
 267;26.60031319;266.20739746;32.09621048;7.80844450
 268;26.70069313;267.09976196;32.27893066;8.07410526
 269;26.80105400;267.94760132;32.41529083;8.27641010
 270;26.90047836;269.10150146;32.55165100;8.16691208
 271;27.00095940;269.91390991;32.70982742;8.20942307
 272;27.10034752;270.99377441;32.86254883;8.22683144
 273;27.20076180;271.91009521;33.00981522;8.18266487
 274;27.30024338;272.93911743;33.18162918;8.19376373
 275;27.40069962;273.99096680;33.32889557;8.28299618
 276;27.50011826;275.03784180;33.48707199;8.25441360
 277;27.60061455;276.16998291;33.63161469;8.13620377
 278;27.70002365;277.08142090;33.77342606;7.93662834
 279;27.80034256;278.00976563;33.90705872;8.16637230
 280;27.90066147;278.98379517;34.05705643;8.28343773
 281;28.00003242;279.97247314;34.23159409;8.36223698
 282;28.10050774;281.09994507;34.37886047;8.02537441
 283;28.20095253;282.00082397;34.54249191;8.23022079
 284;28.30032158;282.83276367;34.66521835;8.40757942
 285;28.40076637;283.92239380;34.85066605;8.39496899
 286;28.50015640;285.00411987;35.02793121;8.15558624
 287;28.60066795;286.00054932;35.17792511;8.32643700
 288;28.70004272;287.22134399;35.31428528;8.06266880
 289;28.80047035;287.87637329;35.48882675;8.39583302
 290;28.90087128;289.01663208;35.64700317;8.27549839
 291;29.00027657;289.87979126;35.77790833;8.52360630
 292;29.10070229;290.88882446;35.90335846;8.33317375
 293;29.20012283;292.10583496;36.06426239;8.27286720
 294;29.30051231;293.00790405;36.21425629;8.34643841
 295;29.40096283;293.95248413;36.36425018;8.28395367
 296;29.50040817;294.99041748;36.52515411;8.36405373
 297;29.60090637;295.86206055;36.68878555;8.39118290
 298;29.70038223;296.99948120;36.86605453;8.21813774
 299;29.80083275;298.15237427;36.99968338;8.16441059
 300;29.90016174;298.94171143;37.14422607;8.29988575
 301;30.00060844;300.17535400;37.28058624;8.26673603
 302;30.10101891;300.99032593;37.44149017;8.40460968
 303;30.20049286;302.08596802;37.60784531;8.19611263
 304;30.30099487;303.02838135;37.75238800;8.35528278
 305;30.40041924;304.10293579;37.92419815;8.32862473
