Type :,DIL805
Test :,200306 Aus 16 1000°C 30 min iso 760°C 15 min q


;Time;Temperature;Change in Length;HF Power
 1;0.00000000;26.70248222;0.00000000;0.00000000
 2;0.10074400;26.76827431;-0.19635701;0.00000000
 3;0.20011900;26.72237587;-0.17453957;0.00000000
 4;0.30060899;26.75741768;-0.19908428;0.00000000
 5;0.40005901;26.88287354;-0.23181033;0.00000000
 6;0.50050801;26.77889442;-0.22362900;0.00000000
 7;0.60101002;26.70779228;-0.23453760;0.00000000
 8;0.70042300;26.95846558;-0.23453760;0.00000000
 9;0.80090898;26.91177177;-0.26999092;0.00000000
 10;0.90027899;26.86747360;-0.23181033;0.00000000
 11;1.00080895;26.86298370;-0.24544644;0.00000000
 12;1.10021603;26.60850716;-0.23453760;0.00000000
 13;1.20070899;26.61012268;-0.19908428;0.00000000
 14;1.30011904;26.89507484;-0.24271917;0.00000000
 15;1.40057504;27.07911491;-0.22908330;0.00000000
 16;1.50098097;26.82396507;-0.23453760;0.00000000
 17;1.60037506;27.09504128;-0.23453760;0.41663766
 18;1.70081997;26.96295547;-0.22090173;0.00000000
 19;1.80026901;26.53207016;-0.20999289;0.00000000
 20;1.90076602;26.70248222;-0.18817544;0.00000000
 21;2.00024009;27.07221985;-0.20453858;0.44338822
 22;2.10066509;26.87809944;-0.25090075;0.22783577
 23;2.20019007;27.02715111;-0.23453760;0.00000000
 24;2.30063510;27.05607224;-0.23726487;0.00000000
 25;2.40003490;26.82401848;-0.23999190;0.09271741
 26;2.50053096;26.76827431;-0.20999289;0.06635003
 27;2.60103703;26.73537827;-0.21272016;0.38563049
 28;2.70051098;26.87067413;-0.22635603;0.77136719
 29;2.80093193;26.88818169;-0.22362900;3.63116789
 30;2.90016890;27.34922409;-0.14999485;9.64947224
 31;3.00058603;29.76826668;0.12272334;9.60425186
 32;3.10106707;31.50510597;0.40362310;8.95449638
 33;3.20040393;32.63830185;0.54816389;7.03240013
 34;3.30080104;33.37030029;0.67906857;6.73399544
 35;3.40020490;33.97650528;0.76088405;6.85414076
 36;3.50065994;34.94005966;0.84542680;6.70283842
 37;3.60012007;35.60415268;1.01996636;7.39779377
 38;3.70053005;36.65426636;1.08541870;7.74804401
 39;3.80101895;38.04146957;1.19723320;7.67515612
 40;3.90046906;38.73459244;1.34450102;7.66894388
 41;4.00096607;39.91220856;1.50267792;7.62844181
 42;4.10033417;41.28627396;1.63903666;7.26449203
 43;4.20084000;42.07306671;1.78357744;7.26571035
 44;4.30023479;43.08767319;1.88721037;7.14622784
 45;4.40064096;44.06151962;2.00447941;7.25308371
 46;4.50012016;44.90929031;2.14083862;7.22165680
 47;4.60062599;45.91177368;2.25265312;7.34916306
 48;4.70099115;46.88519669;2.38083029;7.43989086
 49;4.80040503;47.86299133;2.52537107;7.75991201
 50;4.90091610;49.08613205;2.66445732;7.48767281
 51;5.00035191;49.93088913;2.79263496;7.60741425
 52;5.10090303;50.85033035;2.92626715;7.62024403
 53;5.20029211;52.13253403;3.08444357;7.07426977
 54;5.30071592;52.98427582;3.17171335;7.32025623
 55;5.40011978;54.10934067;3.30534554;6.95629358
 56;5.50053120;54.92511749;3.44715881;7.48754072
 57;5.60089111;55.90127563;3.55079174;7.48594999
 58;5.70026493;56.92995453;3.71442270;7.52460957
 59;5.80073214;58.37918854;3.83987331;7.35413504
 60;5.90014076;58.98955536;3.97623253;7.67636395
 61;6.00067616;59.94472504;4.07441092;7.41890383
 62;6.10010099;61.00196457;4.24622345;7.40192842
 63;6.20060205;62.09244156;4.37712812;7.18014193
 64;6.30003500;62.93679428;4.51894188;7.17542696
 65;6.40054703;64.03558350;4.62802887;7.47891951
 66;6.50101709;64.98193359;4.73438931;7.31334972
 67;6.60048580;65.82554626;4.87347555;7.75234747
 68;6.70100307;66.87102509;5.01256180;7.71775770
 69;6.80046082;67.89801788;5.16255665;7.57184744
 70;6.90097094;69.17987823;5.29891586;7.40371656
 71;7.00039196;70.27263641;5.42982054;7.29716015
 72;7.10088778;71.02654266;5.59617853;7.26534081
 73;7.20033312;72.14181519;5.68617582;7.29301071
 74;7.30081797;72.92278290;5.84980726;7.48850870
 75;7.40023804;73.86885834;5.92889547;7.60350943
 76;7.50076914;75.03522491;6.07616282;7.52603722
 77;7.60016823;75.92847443;6.23433924;7.34520531
 78;7.70069408;76.64782715;6.35160875;7.40471172
 79;7.80008888;77.89643097;6.47705889;7.60777903
 80;7.90062380;78.76679993;6.61614466;7.99287367
 81;8.00006008;79.92343140;6.76341295;7.63639688
 82;8.10056496;81.24186707;6.89159060;7.30758286
 83;8.20104599;81.94974518;7.00067759;7.57128477
 84;8.30048943;83.15689087;7.13158274;7.28685951
 85;8.40095615;83.84918976;7.27066851;7.54677057
 86;8.50038624;84.79973602;7.39884615;7.62430239
 87;8.60085106;85.74047852;7.50247908;7.91250944
